codigo,descripcion
A05-773,"Detectives privados y  profesionales que prestan servicios de vigilancia, protección y seguridad"
A05-774,Traductores e Intérpretes
A05-775,Doctores y Licenciados en Filosofía y Letras.
A05-776,"Doctores y Licenciados en Ciencias Políticas y Sociales, Psicólogos, Antropólogos, Historiadores y similares"
A05-777,Especialistas en asuntos de personal y orientación y análisis profesional
A05-778,Diplomados en Biblioteconomía y Documentación
A05-799,"Otros profesionales relacionados con las actividades financieras, jurídicas, de seguros y de alquileres no clasificados en otras partes"
A03-811,Banca
A05-811,Profesionales que prestan servicios de limpieza
A03-812,Cajas de ahorro
A03-821,Entidades aseguradores de vida y capitalización
A05-821,Personal docente Enseñanza Superior
A03-822,Entidades aseguradoras de enfermedad y riesgos diversos
A05-822,Personal docente Enseñanza Media
A03-823,"Otras entidades aseguradoras, montepíos, cajas de pensiones, etc."
A05-823,Personal docente de Enseñanza General Básica y Preescolar
A05-824,Profesores formación y perfeccionamiento profesional
A05-825,"Profesores de  conducción de vehículos terrestres, acuáticos, aeronáuticos, etc"
A05-826,"Personal docente de enseñanzas diversas, tales como Educación Física y Deportes, Idiomas, Mecanografía, preparación de exámenes y oposiciones y similares"
A05-831,Médicos medicina general
A05-832,Médicos especialistas excluidos estomatólogos y odontólogos
A05-833,Estomatólogos
A03-834,Servicios relativos a la propiedad inmobiliaria y a la propiedad industrial
A05-834,Odontólogos
A05-835,Farmacéuticos
A05-836,Ayudantes Técnicos Sanitarios y fisioterapeutas
A05-837,Protésicos e higienistas dentales
A05-838,Ópticos optometristas y podólogos
A05-839,"Masajistas, bromatólogos, dietistas, y auxiliares enfermería"
A03-841,Servicios jurídicos
A05-841,"Naturópata, acupuntores  y otros profesionales parasanitarios"
A03-842,Servicios financieros y contables
A03-844,"Servicios de publicidad, relaciones públicas y similares"
A03-845,Explotación electrónica por cuenta de terceros
A03-846,Empresas de estudio de mercado
A03-847,Servicios integrales de Correos y Telecomunicaciones
A03-848,"Servicios de oficina flexible, ‘‘coworking’’ y centros de negocios"
A03-851,Alquiler de maquinaria y equipo agrícola
A05-851,Representantes técnicos del espectáculo
A03-852,Alquiler de maquinaria y equipo para la construcción
A05-852,Apoderados y representantes taurinos
A03-853,Alquiler de maquinaria y equipo contable de oficina y cálculo electrónico
A05-853,Agentes de colocación de artistas
A05-854,"Expertos en organización de congresos, asambleas y similares"
A05-855,Agentes y corredores de apuestas en los espectáculos
A03-859,Alquiler otros bienes muebles no clasificados en otras partes (sin personal permanente)
A05-861,"Pintores, Escultores, Ceramistas, Artesanos, Grabadores, Artistas Falleros y artistas similares"
A03-862,Alquiler de bienes inmuebles de naturaleza rústica
A05-862,Restauradores de obras de arte
A05-863,Periodistas y otros profesionales de la información y la comunicación
A05-864,Escritores y guionistas
A05-869,Otros profesionales relacionados con las actividades artísticas y culturales no clasificadas en la sección tercera
A05-871,"Expendedores oficiales de loterías, apuestas deportivas y otros juegos, incluidos en la red comercial del Organismo Nacional de Loterías y Apuestas del Estado, 8excluidos los clasificados en el grupo 855)"
A05-872,"Expendedores oficiales de loterías,  apuestas deportivas y otros juegos, pertenecientes a otros organismos distintos del Organismo Nacional de Loterías y Apuestas del Estado"
A05-873,"Expendedores no oficiales autorizados para la recepción de apuestas deportivas, de otros juegos y de loterías diversas"
A05-881,Astrólogos y similares
A05-882,Guías de turismo
A05-883,Guías interpretes de turismo
A05-884,"Peritos tasadores de seguros, alhajas, géneros y efectos"
A05-885,Liquidadores y Comisarios de averías
A05-886,Cronometradores
A05-887,Maquilladores y Esteticistas
A05-888,Grafólogos
A05-889,Guías de montaña
A05-899,Otros profesionales relacionados con los servicios a que se refiere esta división
A03-911,Servicios agrícolas y ganaderos
A03-912,Servicios forestales y servicios relacionados con la pesca y la acuicultura
A03-922,Servicios de limpieza
A03-934,Enseñanza fuera de establecimiento permanente
A03-936,Investigación científica y técnica
A03-943,Consultas y clínicas de estomatología y odontología
A03-944,"Servicios de naturopatía, acupuntura y otros servicios parasanitarios"
A03-945,Consultas y clínicas veterinarias
